101,Dhaka,Chittagong,6,17,25,39,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,7,18,30,39,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,dhaka,kd,10,20,30,40,3500.0,5500.0,8000.0,12000.0
2,djf',oihf,10,2,4,5,1.0,2.0,3.0,4.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
4,Dhaka,Dubai,12,23,33,42,75000.0,10000.0,120000.0,150000.0
5,Dhaka,Dubai,15,26,36,46,75000.0,100000.0,125000.0,150000.0
101,Dhaka,Chittagong,9,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,9,19,30,39,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,dhaka,kd,10,20,30,40,3500.0,5500.0,8000.0,12000.0
2,djf',oihf,11,3,4,5,1.0,2.0,3.0,4.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
4,Dhaka,Dubai,14,24,34,44,75000.0,10000.0,120000.0,150000.0
5,Dhaka,Dubai,16,26,36,46,75000.0,100000.0,125000.0,150000.0
101,Dhaka,Chittagong,9,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,9,19,30,39,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,dhaka,kd,10,20,30,40,3500.0,5500.0,8000.0,12000.0
2,djf',oihf,11,3,4,5,1.0,2.0,3.0,4.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
4,Dhaka,Dubai,14,24,34,44,75000.0,10000.0,120000.0,150000.0
5,Dhaka,Dubai,16,26,36,46,75000.0,100000.0,125000.0,150000.0
101,Dhaka,Chittagong,9,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,9,19,30,39,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,dhaka,kd,10,20,30,40,3500.0,5500.0,8000.0,12000.0
2,djf',oihf,11,3,4,5,1.0,2.0,3.0,4.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
4,Dhaka,Dubai,14,24,34,44,75000.0,10000.0,120000.0,150000.0
5,Dhaka,Dubai,16,26,36,46,75000.0,100000.0,125000.0,150000.0
101,Dhaka,Chittagong,9,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,9,19,30,39,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,Dhaka,Khulna,10,20,30,40,3500.0,5500.0,8000.0,12000.0
101,dhaka,kd,10,20,30,40,3500.0,5500.0,8000.0,12000.0
2,djf',oihf,11,3,4,5,1.0,2.0,3.0,4.0
101,Dhaka,Chittagong,10,20,30,40,3500.0,5500.0,8000.0,12000.0
4,Dhaka,Dubai,14,24,34,44,75000.0,10000.0,120000.0,150000.0
5,Dhaka,Dubai,16,26,36,46,75000.0,100000.0,125000.0,150000.0
77,dd,df,1,2,3,4,4.0,5.0,6.0,7.0
